"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"5475","ŞRJ/3258",,,"Carrefoursa, Ataşehir","Yeni Çamlıca Mahallesi Bostancı Yolu Caddesi  No:13 Ataşehir / İSTANBUL","0","56","40.9869642","29.1319157"
"5476","ŞRJ/3259",,,"The Green Park Hotel, Bostancı","İçerenköy Mahallesi Ertaç Sokağı  No:16 Ataşehir / İSTANBUL","0","56","40.966655","29.1099775"
"5477","ŞRJ/3265",,,"Mengerler, Bostancı","İçerenköy Mahallesi Değirmen Yolu Caddesi  No:28 Ataşehir / İSTANBUL","0","56","40.961777","29.1104921"
"5478","ŞRJ/3687",,,"Bostancıoğlu Motorlu Araçlar, Kartal","Topselvi Mahallesi  No:10  D-100 Karayolu Güney Yan Yol Kartal / İSTANBUL","0","56","40.9062892","29.1972048"
"5479","ŞRJ/5982",,,"Gülsoy Oto, Tuzla","Fatih Mahallesi Katip Çelebi Caddesi  No:47 Tuzla / İSTANBUL","0","56","40.9182758","29.3474758"
"5480","ŞRJ/5986",,,"Hunko Otomotiv, Üsküdar","Barbaros Mahallesi Nuhkuyusu Caddesi  No:6 Üsküdar / İSTANBUL","0","56","40.9379044","29.1375179"
"5481","ŞRJ/5989",,,"Lens Yaşam Merkezi, Pendik","Yenişehir Mahallesi  No:4 Pendik / İSTANBUL","0","56","40.9266277","29.3112296"
"5482","ŞRJ/5994",,,"Nearport Hotel, Pendik","Yenişehir Mahallesi  No:5/A  Kurtköy Pendik / İSTANBUL","0","56","40.9283258","29.3086478"
"5483","ŞRJ/4384",,,"Okan Üniversitesi Girişi","Tepeören Mahallesi Tuzla / İSTANBUL","0","143","40.951848","29.3921173"
"5484","ŞRJ/6370",,,"Niki Elektronik Otoparkı","Y.dudullu Mahallesi Keyap Sanayi Sitesi Caddesi  No:E2 Blok /44/86 Ümraniye / İSTANBUL","0","68","41.0045795","29.1558537"
